codigo;codempresa;descricao;migracao;ativo;migracao2;migracao3
100174547;92577;Indício de Irregularidade em Benefício;;1;;
100159249;92577;Execução de Alimentos;;1;;
100155263;92577;Regime de Bens;;1;;
100133121;92577;Honorários Contratuais;;1;;
100125580;92577;Salário Maternidade;;1;;
100124142;92577;DPVAT;;1;;
100118309;92577;Aposentadoria - EC 20/98;;1;;
100118145;92577;Parcelas Atrasadas de Benefício Previdenciário;;1;;
100105182;92577;Dívida Ativa;;1;;
100104435;92577;Aposentadoria Híbrida;;1;;
100093895;92577;Pensão por Morte;;1;;
100091634;92577;Aposentadoria por Idade Rural;;1;;
100091604;92577;Execução de Honorários Sucumbenciais;;1;;
100090127;92577;Incidente de Resolução de Demandas Repetitivas;;1;;
100073326;92577;Honorários de Sucumbência;;1;;
100072548;92577;Negativação Indevida;;1;;
100072157;92577;Reconhecimento de Vínculo;;1;;
100068790;92577;Precatório;;1;;
100066501;92577;Recurso de medida cautelar cível;;1;;
100064326;92577;Acidente de trabalho c/morte;;1;;
100061670;92577;Reintegração ao Trabalho;;1;;
100057194;92577;Ação de Guarda c/c Regulamentação de Visitas;;1;;
100051672;92577;RPV - Requisição de Pequeno Valor;;1;;
100046779;92577;Verbas Trabalhistas Diversas;;1;;
100046086;92577;Registro de Escritura;;1;;
100043219;92577;Ação de Interdição;;1;;
100037570;92577;Carta precatória;;1;;
100014061;92577;Dissolução de união estável;;1;;
507187;92577;Cumprimento de sentença;;1;;
488607;92577;Aposentadoria por Tempo de Contrib. ao Deficiente;;1;;
441044;92577;Suspeição;;1;;
432129;92577;Aposentadoria por Idade;;1;;
399456;92577;Consignação em Pagamento;;1;;
387598;92577;Alimentos;;1;;
386520;92577;Anulatória de Protesto;;1;;
385414;92577;Retificação de PPP;;1;;
373061;92577;Acao de Alimentos c/c Guarda Unilateral;;1;;
135344;92577;Negatória de Paternidade;;1;;
135729;92577;Separação;;1;;
130288;92577;Aposentadoria;;1;;
155259;92577;Execução de título;;1;;
158549;92577;Repetição de Indébito;;1;;
138576;92577;Reparação de Danos;;1;;
142636;92577;Ação Previdenciaria;;1;;
250774;92577;Erro Médico;;1;;
186381;92577;Restituição de Benefício;;1;;
153921;92577;Divórcio Consensual;;1;;
133555;92577;Pensão Alimentícia;;1;;
135067;92577;Exoneração de Alimentos;;1;;
136593;92577;Desconstituição de Débito;;1;;
149235;92577;Revisional de Alimentos;;1;;
251038;92577;Alimentos Gravídicos;;1;;
131635;92577;Reclamatória Trabalhista;;1;;
223323;92577;Revisão pelo Teto;;1;;
237907;92577;FGTS 199;;1;;
239853;92577;Auxílio Acidente;;1;;
302488;92577;Juros Progressivos do FGTS;;1;;
164297;92577;Auxílio Doença;;1;;
206857;92577;Embargos;;1;;
290607;92577;Empréstimo Consignado Não Autorizado;;1;;
294079;92577;Declaratória de Inexistência de Débito;;1;;
134388;92577;SPC;;1;;
147380;92577;Divórcio Litigioso;;1;;
304283;92577;Comissão de Corretagem;;1;;
304297;92577;Multas de Trânsito;;1;;
223330;92577;Desaposentação;;1;;
237848;92577;FGTS 1999;;1;;
278070;92577;Justiça Gratuita;;1;;
290614;92577;Aposentadoria Especial;;1;;
302486;92577;Benefício Assistencial ao Idoso ou Portador de Def;;1;;
312384;92577;Atraso de Voo;;1;;
237268;92577;Anulação de Negócio Jurídico;;1;;
130407;92577;Acidente de Carro;;1;;
135826;92577;Cobrança;;1;;
154756;92577;Alvará Judicial;;1;;
156884;92577;Reintegração de Posse;;1;;
154754;92577;Cobrança de Retroativo do INSS;;1;;
186281;92577;Partilha;;1;;
263898;92577;Prestação de Contas;;1;;
290273;92577;Restabelecimento da Sociedade Conjugal;;1;;
286440;92577;Inventário;;1;;
134375;92577;Cobrança de FGTS;;1;;
135425;92577;Ação Monitória;;1;;
312382;92577;Seguro de Vida e/ou Acidente;;1;;
139709;92577;Revisional de benefício Previdenciário;;1;;
134828;92577;Indenização;;1;;
135430;92577;Ação Revisional de Contrato;;1;;
135780;92577;Restituição de quantia paga;;1;;
155268;92577;Rescisão Contratual;;1;;
207922;92577;Impugnação a Assistência Judiciária;;1;;
316240;92577;Aposentadoria por Tempo de Contribuição;;1;;
169597;92577;Expurgos do FGTS;;1;;
223315;92577;Obrigação de Fazer;;1;;
272833;92577;Revisional de Benefício de Previdência Privada;;1;;
290599;92577;Teto INSS;;1;;
331414;92577;Conversao de beneficio;;1;;
331449;92577;Nota Promissória;;1;;
364474;92577;Apos Especial ou, SUCESSIVAMENTE, Apos Tempo Contr;;1;;
363561;92577;Ação Rescisória;;1;;
360812;92577;Restituição de valores c/ danos morais;;1;;
366493;92577;Acidente de Trânsito;;1;;
