cod_empresa;cod_parte;cod_processo;cod_advparte;cod_usuario;migracao;parte_principal;ativo;unificador_cliente;cod_cliente_removido;unificador_processo;cod_processo_removido;migracao2;migracao3
92577;4392278;105981584;;100026144;;1;1;;;0;0;;
92577;4392278;106260517;;100026144;;1;1;;;0;0;;
92577;4392278;106008354;;100026144;;1;1;;;0;0;;
92577;105671530;106395167;;559945;;1;1;;;0;0;;
92577;105671530;106395046;;559945;;1;1;;;0;0;;
92577;5868578;105421037;;347394;;1;1;;;0;0;;
92577;105753776;106009454;;347394;;0;1;;;0;0;;
92577;105753763;106009454;;347394;;0;1;;;0;0;;
92577;105753759;106009454;;347394;;1;1;;;0;0;;
92577;4392278;103279808;;347394;;1;1;;;0;0;;
92577;4392278;103028379;;347394;;1;1;;;0;0;;
92577;105671530;106344913;;559945;;1;1;;;0;0;;
92577;4392278;103910486;;347394;;1;1;;;0;0;;
92577;4392278;103416920;;347394;;1;1;;;0;0;;
92577;4392278;106323257;;347394;;1;1;;;0;0;;
92577;105671530;106314862;;347394;;1;1;;;0;0;;
92577;105671530;106314843;;347394;;1;1;;;0;0;;
92577;4242494;105874407;;347394;;0;1;;;0;0;;
92577;4392278;105874407;;347394;;1;1;;;0;0;;
92577;10966417;105942305;;347394;;1;1;;;0;0;;
92577;4977155;105973154;;347394;;1;1;;;0;0;;
92577;105671530;106293831;;347394;;1;1;;;0;0;;
92577;100223402;106290076;;100097650;;1;1;;;0;0;;
92577;4392278;105732175;;347394;;1;1;;;0;0;;
92577;4392278;104729326;;347394;;1;1;;;0;0;;
92577;4392278;103763373;;347394;;1;1;;;0;0;;
92577;105484833;105603516;;347394;;1;1;;;0;0;;
92577;4392278;105860032;;347394;;1;1;;;0;0;;
92577;105349349;105577814;;347394;;0;1;;;0;0;;
92577;105349342;105577814;;347394;;0;1;;;0;0;;
92577;105349329;105577814;;347394;;0;1;;;0;0;;
92577;103730443;105577814;;347394;;1;1;;;0;0;;
92577;101412146;105709872;;347394;;1;1;;;0;0;;
92577;105469465;105580894;;347394;;1;1;;;0;0;;
92577;5868578;105385475;;347394;;1;1;;;0;0;;
92577;5868591;105738389;;347394;;0;1;;;0;0;;
92577;5868578;105738389;;347394;;1;1;;;0;0;;
92577;15462738;105644111;;347394;;1;1;;;0;0;;
92577;4392278;104417662;;347394;;1;1;;;0;0;;
92577;4353088;106039114;;347394;;1;1;;;0;0;;
92577;4353088;106032086;;347394;;1;1;;;0;0;;
92577;4353088;106022539;;347394;;1;1;;;0;0;;
92577;4353088;105773695;;347394;;1;1;;;0;0;;
92577;4392278;105501895;;347394;;1;1;;;0;0;;
92577;4392278;101630482;;347394;;1;1;;;0;0;;
92577;4392278;105424284;;347394;;1;1;;;0;0;;
92577;4392278;102238458;;347394;;1;1;;;0;0;;
92577;4392278;103283885;;347394;;1;1;;;0;0;;
92577;4392278;103383516;;347394;;1;1;;;0;0;;
92577;4392278;105334931;;347394;;1;1;;;0;0;;
92577;105361058;105834417;;347394;;1;1;;;0;0;;
92577;5868578;104692283;;347394;;1;1;;;0;0;;
92577;105349538;104944526;;347394;;0;1;;;0;0;;
92577;105349521;104944526;;347394;;0;1;;;0;0;;
92577;105349514;104944526;;347394;;1;1;;;0;0;;
92577;5868578;105547563;;347394;;1;1;;;0;0;;
92577;105349349;105554847;;347394;;0;1;;;0;0;;
92577;105349342;105554847;;347394;;0;1;;;0;0;;
92577;105349329;105554847;;347394;;0;1;;;0;0;;
92577;103730443;105554847;;347394;;1;1;;;0;0;;
92577;105267788;105641364;;347394;;1;1;;;0;0;;
92577;4353088;105792666;;347394;;1;1;;;0;0;;
92577;15402036;104942324;;347394;;1;1;;;0;0;;
92577;9442944;105286166;;347394;;1;1;;;0;0;;
92577;5868578;105384802;;347394;;1;1;;;0;0;;
92577;6321353;105161414;;347394;;1;1;;;0;0;;
92577;13023693;105424074;;347394;;1;1;;;0;0;;
92577;4392278;105593320;;347394;;1;1;;;0;0;;
92577;4392278;105489980;;347394;;1;1;;;0;0;;
92577;4392278;101056211;;559945;;1;1;;;0;0;;
92577;5868578;104999804;;347394;;1;1;;;0;0;;
