cod_empresa;cod_parte;cod_processo;cod_usuario;migracao;parte_principal;ativo;listar_como_cliente;unificador_cliente;cod_cliente_removido;unificador_processo;cod_processo_removido;migracao2;migracao3
92577;106207729;106929711;347394;;1;1;1;;;0;0;;
92577;106206605;106928376;100097650;;1;1;1;;;0;0;;
92577;9805594;106922355;559945;;1;1;1;;;0;0;;
92577;106201416;106922171;347394;;1;1;1;;;0;0;;
92577;106195506;106915111;347394;;1;1;1;;;0;0;;
92577;106195373;106914953;347394;;1;1;1;;;0;0;;
92577;106195309;106914861;347394;;1;1;1;;;0;0;;
92577;4730890;106891558;476917;;1;1;1;;;0;0;;
92577;106163303;106876055;347394;;1;1;1;;;0;0;;
92577;7071408;106862781;559945;;1;1;1;;;0;0;;
92577;106148938;106858914;347394;;1;1;1;;;0;0;;
92577;105862914;106851291;100097650;;1;1;1;;;0;0;;
92577;6665745;106849755;559945;;1;1;1;;;0;0;;
92577;6755495;106849731;559945;;1;1;1;;;0;0;;
92577;105947084;106616485;347394;;1;1;1;;;0;0;;
92577;105946513;106616181;301340;;1;1;1;;;0;0;;
92577;105790012;106615779;301340;;1;1;1;;;0;0;;
92577;105946513;106615768;347394;;1;1;1;;;0;0;;
92577;4580881;106605532;347394;;1;1;1;;;0;0;;
92577;105934359;106600761;347394;;1;1;1;;;0;0;;
92577;105934268;106600654;347394;;1;1;1;;;0;0;;
92577;105923227;106587635;347394;;1;1;1;;;0;0;;
92577;105922817;106587619;301340;;1;1;1;;;0;0;;
92577;105922817;106587079;347394;;1;1;1;;;0;0;;
92577;105921911;106586203;347394;;1;1;1;;;0;0;;
92577;6944479;106584493;301340;;1;1;1;;;0;0;;
92577;105920339;106584285;347394;;1;1;1;;;0;0;;
92577;4511637;106580531;559945;;1;1;1;;;0;0;;
92577;105914176;106576887;347394;;1;1;1;;;0;0;;
92577;4392443;106573977;476917;;1;1;1;;;0;0;;
92577;5855955;106571925;559945;;1;1;1;;;0;0;;
92577;105909850;106571624;347394;;1;1;1;;;0;0;;
92577;102498766;106559994;301340;;1;1;1;;;0;0;;
92577;105894824;106553606;347394;;1;1;1;;;0;0;;
92577;4400280;106545484;347394;;1;1;1;;;0;0;;
92577;4515240;106545332;347394;;1;1;1;;;0;0;;
92577;105746755;106536761;559945;;1;1;1;;;0;0;;
