cod_empresa;cod_parte;cod_processo;cod_advparte;cod_usuario;migracao;parte_principal;ativo;unificador_cliente;cod_cliente_removido;unificador_processo;cod_processo_removido;migracao2;migracao3
92577;15441751;106851291;;301340;;;1;;;0;0;;
92577;6203993;5224892;;301340;;1;1;;;0;0;;
92577;6203993;6382049;;301340;;1;1;;;0;0;;
92577;6203993;5993298;;301340;;1;1;;;0;0;;
92577;6203993;7026716;;347394;;;1;;;0;0;;
92577;6203993;7034556;;347394;;;1;;;0;0;;
92577;6203993;7026374;;347394;;;1;;;0;0;;
92577;6203993;7026257;;347394;;;1;;;0;0;;
92577;6203993;7026085;;347394;;;1;;;0;0;;
92577;6203993;7025945;;347394;;;1;;;0;0;;
92577;6203993;7034737;;347394;;;1;;;0;0;;
92577;6203993;7025426;;347394;;;1;;;0;0;;
92577;6203993;7025485;;347394;;;1;;;0;0;;
92577;6203993;7023989;;347394;;;1;;;0;0;;
92577;6203993;7023759;;347394;;;1;;;0;0;;
92577;6203993;7034938;;347394;;;1;;;0;0;;
92577;6203993;7023406;;347394;;;1;;;0;0;;
92577;6203993;7023090;;347394;;;1;;;0;0;;
92577;6203993;7022878;;347394;;;1;;;0;0;;
92577;6203993;7042005;;301340;;;1;;;0;0;;
92577;7541692;7639630;;301340;;;1;;;0;0;;
92577;6203993;7750680;;301340;;;1;;;0;0;;
92577;6203993;7816168;;301340;;1;1;;;0;0;;
92577;6203993;7816180;;301340;;1;1;;;0;0;;
92577;6203993;7563376;;301340;;;1;;;0;0;;
92577;6203993;7992404;;301340;;;1;;;0;0;;
92577;7541692;8048040;;301340;;;1;;;0;0;;
92577;7541692;8047629;;301340;;;1;;;0;0;;
92577;6203993;8056776;;301340;;;1;;;0;0;;
92577;6203993;7018024;;301340;;;1;;;0;0;;
92577;6203993;8160434;;301340;;;1;;;0;0;;
92577;6203993;5220987;;301340;;;1;;;0;0;;
92577;6203993;8171962;;302720;;;1;;;0;0;;
92577;6203993;8175841;;301340;;;1;;;0;0;;
92577;6203993;8235977;;301340;;;1;;;0;0;;
92577;8263501;7503908;;301340;;;1;;;0;0;;
92577;6203993;8175880;;301340;;;1;;;0;0;;
92577;8382631;8247397;;301340;;;1;;;0;0;;
92577;6203993;8183694;;301340;;;1;;;0;0;;
92577;8721447;8539193;;301340;;;1;;;0;0;;
92577;6203993;8712441;;301340;;;1;;;0;0;;
92577;6203993;5711359;;301340;;;1;;;0;0;;
92577;6203993;9208206;;301340;;;1;;;0;0;;
92577;8382631;8754144;;301340;;;1;;;0;0;;
92577;6203993;9220359;;301340;;;1;;;0;0;;
92577;9273173;9337386;;301340;;;1;;;0;0;;
