codigo;descricao;codempresa;migracao;ativo;migracao2;migracao3
100113425;Seção de Dissídios Individuais;92577;;1;;
100113424;TRT-3;92577;;1;;
100108533;Vara da Direção do Foro;92577;;1;;
100107755;Vara Única;92577;;1;;
100100338;Tribunal de Justiça do Estado de São Paulo;92577;;1;;
100082227;Vara Empresarial;92577;;1;;
100069512;Cartório - Tabelionato de Notas;92577;;1;;
100046451;Tribunal Regional Federal;92577;;1;;
100034718;Vara da infância e juventude;92577;;1;;
100028095;Cartório de Registro de Imóveis;92577;;1;;
100027734;Vara de Família;92577;;1;;
100025641;Turma - STJ;92577;;1;;
100013815;Turma - TRF1;92577;;1;;
100010334;Supremo Tribunal Federal;92577;;1;;
100007441;Turma - STF;92577;;1;;
100005026;Vara de precatórias cíveis;92577;;1;;
671945;Superior Tribunal de Justiça;92577;;1;;
671889;Superior Tribunal de Justiça;92577;;1;;
624806;Instituto Nacional de Seguro Social;92577;;1;;
483234;Câmara Cível;92577;;1;;
515939;Turma Recursal;92577;;1;;
282374;Juizado Especial Cível;92577;;1;;
283004;2ª vara federal de Ipatinga;92577;;1;;
293250;Juizado Especial Federal;92577;;1;;
321244;Vara do Trabalho;92577;;1;;
348362;Vara Federal;92577;;1;;
291749;1ª Família/Sucessões;92577;;1;;
295375;2ª Família/ sucessões;92577;;1;;
294705;4ª Vara do trabalho;92577;;1;;
321359;Vara da Família e Sucessões;92577;;1;;
294682;2° Vara do trabalho;92577;;1;;
282367;1ª UJ - 2º JD / Juizado Especial Cível;92577;;1;;
298803;Vara da Fazenda Pública;92577;;1;;
338643;vara cível;92577;;1;;
282919;2ª Vara Cível comarca de Ipatinga/MG;92577;;1;;
284400;1ª Vara Federal de Ipatinga/MG;92577;;1;;
285766;1ª Vara do trabalho de Cel Fabriciano/MG;92577;;1;;
294695;1ª Vara Cível;92577;;1;;
544235;Seção;92577;;1;;
