codigo;descricao;codempresa;migracao;ativo;cod_processo_tipo;migracao2;migracao3
100186293;Ação Ordinária;92577;;1;J;;
481063;Alimentos;92577;;1;J;;
501295;Prestação de Contas;92577;;1;J;;
499020;Aposentadoria por Tempo de Contribuição;92577;;1;A;;
567174;Benefício Assistencial ao Idoso ou Portador de Def;92577;;1;J;;
513597;Revisional de Benefício de Previdência Privada;92577;;1;J;;
520037;Justiça Gratuita;92577;;1;J;;
534236;Agravo de Instrumento;92577;;1;J;;
546836;Restabelecimento da Sociedade Conjugal;92577;;1;J;;
583359;Obrigação de Pagar;92577;;1;J;;
272782;Revisional de benefício Previdenciário;92577;;1;J;;
570162;Infrações de Trânsito;92577;;1;A;;
305766;Reintegração de Posse;92577;;1;J;;
870862;Aposentadoria por Idade;92577;;1;A;;
256755;Reclamatória Trabalhista;92577;;1;J;;
277867;Ação Previdenciaria;92577;;1;J;;
380403;Reconhecimento de Vínculo Trabalhista;92577;;1;J;;
460147;Auxílio Acidente;92577;;1;J;;
472425;Aposentadoria Especial;92577;;1;A;;
300784;Alvará Judicial;92577;;1;J;;
365688;Partilha;92577;;1;J;;
882945;Execução de Alimentos;92577;;1;J;;
404006;Impugnação a Assistência Judiciária;92577;;1;J;;
431754;Desaposentação;92577;;1;J;;
456044;Anulação de Negócio Jurídico;92577;;1;J;;
534635;Inventário;92577;;1;J;;
286874;Divórcio Litigioso;92577;;1;J;;
552483;Declaratória de Inexistência de Débito;92577;;1;J;;
320320;Auxílio Doença;92577;;1;J;;
265831;Separação;92577;;1;J;;
302539;Execução de título;92577;;1;J;;
253962;obrigação de entrega de coisa certa;92577;;1;J;;
254088;Aposentadoria;92577;;1;J;;
100064564;Aposentadoria;92577;;1;A;;
253611;Repetição de Indébito;92577;;1;J;;
261937;Cobrança;92577;;1;J;;
265927;Restituição de quantia paga;92577;;1;J;;
265343;Ação Revisional de Contrato;92577;;1;J;;
291015;Revisional de Alimentos;92577;;1;J;;
263791;Exoneração de Alimentos;92577;;1;J;;
268075;Desconstituição de Débito;92577;;1;J;;
457255;FGTS 1999;92577;;1;J;;
457341;FGTS 199;92577;;1;J;;
260356;Ação de Alimentos;92577;;1;J;;
302552;Rescisão Contratual;92577;;1;J;;
253559;Indenização;92577;;1;J;;
265193;Negatória de Paternidade;92577;;1;J;;
299297;Divórcio Extrajudicial;92577;;1;A;;
254306;Reparação de danos materiais e morais;92577;;1;J;;
265338;Ação Monitória;92577;;1;J;;
365853;Restituição de Benefício;92577;;1;J;;
402115;Embargos;92577;;1;J;;
431737;Obrigação de Fazer;92577;;1;J;;
615292;Execução de Título Extrajudicial;92577;;1;J;;
615293;Concessão de Benefício Previdenciário;92577;;1;J;;
669232;Ação Rescisória;92577;;1;J;;
664224;Reparação de danos c/ obrigação de fazer;92577;;1;J;;
664256;Restituição de valores c/ danos morais;92577;;1;J;;
685338;Acao de Alimentos c/c Guarda Unilateral;92577;;1;J;;
703800;Anulatória de Protesto;92577;;1;J;;
786684;Suspeição;92577;;1;J;;
786694;Divórcio;92577;;1;J;;
836797;Aposentadoria por Tempo de Contrib. ao Deficiente;92577;;1;A;;
865082;Cumprimento de sentença;92577;;1;J;;
100016911;Dissolução de união estável;92577;;1;J;;
100029793;Mandado de Segurança Individual;92577;;1;J;;
100056195;Agravo em recurso especial;92577;;1;J;;
100057867;Ação de Interdição;92577;;1;J;;
100061330;Agravo Regimental;92577;;1;J;;
100062105;Registro de Escritura;92577;;1;A;;
100070629;RPV - Requisição de Pequeno Valor;92577;;1;J;;
100078128;Ação de Guarda c/c Regulamentação de Visitas;92577;;1;J;;
100091260;Recurso de medida cautelar cível;92577;;1;J;;
100094596;Precatório;92577;;1;J;;
100099753;Ação Indenizatória;92577;;1;J;;
100113812;Requerimento Administrativo;92577;;1;A;;
100120108;Carta Precatória;92577;;1;J;;
100121322;Incidente de Resolução de Demandas Repetitivas;92577;;1;J;;
