codigo;descricao;codempresa;migracao;ativo;migracao2;migracao3
1;DEMANDADO;0;;1;;
32481;Réu;92577;;1;;
3;------------------------------;0;;0;;
33277;Impetrante;92577;;1;;
30996;Autor;92577;;1;;
37103;Reclamada;92577;;1;;
62831;Impetrado;92577;;1;;
2;DEMANDANTE;0;;1;;
32239;Reclamante;92577;;1;;
68758;Agravante;92577;;1;;
119768;Executado;92577;;1;;
69661;Requerente;92577;;1;;
78184;Recorrente;92577;;1;;
68915;Embargado;92577;;1;;
86048;Recorrido;92577;;1;;
92805;Exequente;92577;;1;;
94416;Impugnado;92577;;1;;
96601;Consignado;92577;;1;;
104357;Requerido;92577;;1;;
105351;Excipiente;92577;;1;;
105352;Excepto;92577;;1;;
122077;Agravado;92577;;1;;
122097;Agravado;92577;;1;;
100013267;Precatório;92577;;1;;
100030631;Interessado;92577;;1;;
