codigo;codempresa;descricao;migracao;ativo;migracao2;migracao3
4292;0;Embargos ;;1;;
4284;0;Apelação;;1;;
4298;0;Agravo de Instrumento contra negativa de RE;;1;;
4286;0;Agravo de Petição;;1;;
4300;0;Habeas Corpus;;1;;
4285;0;Agravo de Instrumento;;1;;
4299;0;Agravo Retido;;1;;
4287;0;Recurso Especial;;1;;
4301;0;Recurso Voluntário;;1;;
4290;0;Embargos de Declaração;;1;;
4291;0;Embargos de Terceiro;;1;;
4289;0;Recurso Ordinário;;1;;
4303;0;Conflito de Competência;;1;;
4288;0;Recurso Extraordinário;;1;;
4302;0;Recurso de Revista;;1;;
4293;0;Agravo Regimental;;1;;
4294;0;Recurso Inominado;;1;;
4295;0;Embargos Infringentes;;1;;
4296;0;Agravo Interno;;1;;
4297;0;Agravo de Instrumento contra negativa de REsp;;1;;
