codigo;valor_causa;codprocesso;codempresa;data_inclusao;codusuario;unificador_processo;cod_processo_removido;migracao3;migracao;migracao2
59635;0;4667559;92577;2012-08-31 17:53:04;302720;;;;;
69225;0;4919609;92577;2012-11-25 16:26:41;301340;;;;;
69687;0;4891112;92577;2012-11-28 19:43:14;301340;;;;;
85185;0;5220171;92577;2013-04-01 13:39:11;301340;;;;;
95657;0;5993298;92577;2013-06-17 15:22:21;301340;;;;;
96987;0;6416027;92577;2013-06-27 14:14:33;301340;;;;;
107459;0;6991015;92577;2013-09-12 10:07:56;301340;;;;;
108061;0;6036793;92577;2013-09-17 13:37:53;301340;;;;;
109587;0;5812593;92577;2013-09-30 15:36:03;301340;;;;;
116867;0;4943836;92577;2013-12-02 10:09:58;301340;;;;;
116895;0;5386746;92577;2013-12-02 12:02:13;301340;;;;;
118659;0;6843680;92577;2013-12-17 10:22:07;301340;;;;;
76733;0;5380937;92577;2013-01-29 11:18:57;301340;;;;;
76761;0;4985985;92577;2013-01-29 12:00:43;301340;;;;;
78623;0;4928267;92577;2013-02-13 11:56:21;301340;;;;;
123083;0;7603297;92577;2014-01-27 19:56:23;301340;;;;;
59279;0;4650330;92577;2012-08-29 17:15:22;302720;;;;;
125463;0;7908399;92577;2014-02-13 10:52:41;301340;;;;;
126023;0;6713811;92577;2014-02-17 19:14:15;301340;;;;;
136271;0;7264109;92577;2014-05-06 13:19:57;301340;;;;;
97019;0;5391824;92577;2013-06-27 15:07:37;301340;;;;;
97033;0;6418655;92577;2013-06-27 15:44:04;301340;;;;;
62412;0;4487511;92577;2012-09-26 09:47:00;302720;;;;;
65394;0;4891595;92577;2012-10-20 16:09:09;301340;;;;;
76751;0;5123890;92577;2013-01-29 11:42:58;301340;;;;;
141535;0;8539193;92577;2014-06-11 18:16:57;301340;;;;;
141661;0;8832729;92577;2014-06-12 14:30:25;301340;;;;;
146309;0;8859812;92577;2014-07-18 14:15:28;301340;;;;;
148381;0;9083564;92577;2014-07-31 21:28:17;301340;;;;;
154527;0;9429031;92577;2014-09-08 17:55:45;301340;;;;;
108065;0;5221647;92577;2013-09-17 13:51:50;301340;;;;;
80402;0;5573930;92577;2013-02-27 12:59:48;301340;;;;;
95175;0;6217585;92577;2013-06-12 11:19:01;301340;;;;;
95651;0;5994088;92577;2013-06-17 15:07:07;301340;;;;;
96981;0;4487068;92577;2013-06-27 13:46:27;301340;;;;;
97023;0;5203269;92577;2013-06-27 15:18:51;301340;;;;;
166133;0;9396904;92577;2014-11-12 16:25:55;301340;;;;;
169899;0;10023534;92577;2014-12-03 09:44:26;301340;;;;;
170627;0;8962865;92577;2014-12-06 15:18:50;301340;;;;;
85190;0;5456969;92577;2013-04-01 13:48:02;301340;;;;;
