codigo;valor_causa;codprocesso;codempresa;data_inclusao;codusuario;unificador_processo;cod_processo_removido;migracao3;migracao;migracao2
1156244;0;12310496;92577;2016-05-10 10:59:57;301340;;;;;
847823;0;7465958;92577;2014-08-06 15:13:16;301340;;;;;
864483;0;9121065;92577;2014-09-08 17:52:53;301340;;;;;
868109;18000;9364468;92577;2014-09-16 15:39:54;301340;;;;;
886323;30000;9383468;92577;2014-10-22 12:23:06;302720;;;;;
911859;470000;6064275;92577;2014-12-11 13:52:11;302720;;;;;
845002;0;8605028;92577;2014-07-31 21:07:49;301340;;;;;
847816;0;9124138;92577;2014-08-06 15:10:07;301340;;;;;
864476;0;8475744;92577;2014-09-08 17:44:05;301340;;;;;
870454;590000;9376621;92577;2014-09-20 16:23:56;302720;;;;;
870804;50000;9389212;92577;2014-09-22 14:16:53;302720;;;;;
898678;0;9909245;92577;2014-11-13 16:49:05;301340;;;;;
857219;0;8155309;92577;2014-08-25 10:51:21;301340;;;;;
913448;52680;9775820;92577;2014-12-15 13:48:10;302720;;;;;
845007;0;8840659;92577;2014-07-31 21:31:34;301340;;;;;
869413;0;9492284;92577;2014-09-18 12:03:27;301340;;;;;
875699;540000;9409788;92577;2014-10-01 13:51:43;302720;;;;;
875741;546598.96;9453891;92577;2014-10-01 14:23:35;302720;;;;;
870459;0;9505873;92577;2014-09-20 17:50:08;301340;;;;;
845003;0;8959678;92577;2014-07-31 21:15:57;301340;;;;;
861859;0;9396904;92577;2014-09-03 09:15:22;301340;;;;;
875803;540000;9397410;92577;2014-10-01 15:02:27;302720;;;;;
886317;20000;9383498;92577;2014-10-22 12:18:03;302720;;;;;
894189;0;9859404;92577;2014-11-05 14:51:20;302720;;;;;
899145;0;9915631;92577;2014-11-14 14:33:22;301340;;;;;
913453;0;9890351;92577;2014-12-15 13:54:52;302720;;;;;
904069;0;9632714;92577;2014-11-26 09:39:40;301340;;;;;
911811;410000;9867142;92577;2014-12-11 12:53:52;302720;;;;;
911867;470000;9906939;92577;2014-12-11 14:02:26;302720;;;;;
913463;2800;10086514;92577;2014-12-15 14:08:49;302720;;;;;
845001;0;8859809;92577;2014-07-31 21:00:52;301340;;;;;
847801;0;9124249;92577;2014-08-06 15:02:16;301340;;;;;
853723;0;9262240;92577;2014-08-18 17:44:42;301340;;;;;
845000;0;9178843;92577;2014-07-31 20:53:23;301340;;;;;
884565;0;9429031;92577;2014-10-20 10:23:28;301340;;;;;
887785;15000;9261190;92577;2014-10-24 11:18:24;302720;;;;;
870452;560000;9094524;92577;2014-09-20 15:56:43;302720;;;;;
897963;0;9848800;92577;2014-11-12 16:59:44;301340;;;;;
898397;30000;8659831;92577;2014-11-13 13:36:34;302720;;;;;
886328;30000;9470064;92577;2014-10-22 12:28:59;302720;;;;;
892726;0;9797529;92577;2014-11-03 15:05:02;301340;;;;;
894168;15000;9337386;92577;2014-11-05 14:41:19;302720;;;;;
913488;15000;9949836;92577;2014-12-15 14:23:07;302720;;;;;
845004;0;8740875;92577;2014-07-31 21:20:19;301340;;;;;
864478;0;8293254;92577;2014-09-08 17:48:19;301340;;;;;
868132;0;9470114;92577;2014-09-16 16:02:15;301340;;;;;
875720;740326.5;9375246;92577;2014-10-01 14:14:31;302720;;;;;
900948;0;9938547;92577;2014-11-19 11:25:25;301340;;;;;
848527;0;9128700;92577;2014-08-07 14:06:14;301340;;;;;
847840;0;8790370;92577;2014-08-06 15:20:32;301340;;;;;
864473;0;9121077;92577;2014-09-08 17:38:27;301340;;;;;
864487;0;9429031;92577;2014-09-08 17:55:45;301340;;;;;
886257;0;8819704;92577;2014-10-22 11:34:26;302720;;;;;
889099;0;9767628;92577;2014-10-27 17:08:51;301340;;;;;
911933;390000;9885717;92577;2014-12-11 14:57:05;302720;;;;;
911947;540000;9638802;92577;2014-12-11 15:14:00;302720;;;;;
870824;0;8241627;92577;2014-09-22 14:34:58;302720;;;;;
875780;620977.92;9384588;92577;2014-10-01 14:45:59;302720;;;;;
845005;0;8790680;92577;2014-07-31 21:25:08;301340;;;;;
894148;25140.12;9214903;92577;2014-11-05 14:30:02;302720;;;;;
844996;0;9085316;92577;2014-07-31 20:42:32;301340;;;;;
854530;0;8268328;92577;2014-08-19 16:26:58;301340;;;;;
854544;0;8787971;92577;2014-08-19 16:33:34;301340;;;;;
900924;0;9259982;92577;2014-11-19 11:12:36;301340;;;;;
900938;0;9938457;92577;2014-11-19 11:19:56;301340;;;;;
